,Latitude,Longitude,Position time,velocity
1,43.07996,5.9993300000000005,09:59:15,0.10646619435193633
2,43.07986,5.99869,10:04:38,0.16461797580487691
3,43.07971,5.99821,10:09:20,0.15041047017478779
4,43.079609999999995,5.99766,10:14:15,0.15609202077784531
5,43.07952,5.99718,10:19:16,0.1337575153445318
6,43.079409999999996,5.9969,10:24:17,0.08581313860911922
7,43.07928,5.99665,10:29:15,0.08366525503106666
8,43.079159999999995,5.99637,10:34:16,0.08762430234752779
9,43.07909,5.99613,10:39:14,0.07045481244082746
10,43.07877,5.99587,10:44:12,0.13889122564535367
11,43.07862,5.9955099999999995,10:49:14,0.11149698426588532
12,43.078540000000004,5.99525,10:54:13,0.07665969065373118
13,43.07857,5.99506,10:59:14,0.05246831273904551
14,43.07881,5.99482,11:04:41,0.10109456446954808
15,43.0788,5.99461,11:09:16,0.06217253160648935
16,43.07881,5.99431,11:14:11,0.08270694373457527
17,43.0788,5.99407,11:19:15,0.06424422613162137
18,43.07874,5.99386,11:24:12,0.061683764878649225
19,43.07866,5.99362,11:29:10,0.0719230028631614
20,43.07862,5.99341,11:34:11,0.058577594842739354
21,43.07858,5.9932099999999995,11:39:09,0.05653343462108021
22,43.07866,5.993040000000001,11:44:09,0.05476608042182971
23,43.0789,5.99289,11:49:11,0.09716975721313934
24,43.0791,5.992719999999999,11:54:10,0.08757424669737399
25,43.07925,5.9927,11:59:11,0.05569239100976883
26,43.07936,5.99266,12:04:28,0.03993532228899053
27,43.07962,5.99251,12:09:09,0.11168153357841265
28,43.07983,5.99233,12:14:10,0.09155586978119969
29,43.07993,5.99236,12:19:08,0.03821101157015825
30,43.080090000000006,5.9924,12:24:08,0.06030345934530993
31,43.08051,5.99244,12:29:09,0.15557946850562657
32,43.08081,5.9924800000000005,12:34:07,0.11250607970541514
33,43.08105,5.99257,12:39:05,0.09288045854268609
34,43.08123,5.99263,12:44:06,0.06845913981494493
35,43.08144,5.992719999999999,12:49:06,0.08158627360761468
36,43.08183,5.99287,12:54:05,0.15069819943102583
37,43.08226,5.992999999999999,12:59:05,0.16326987796799206
38,43.08248,5.99326,13:04:27,0.10039059802884523
39,43.08311,5.9932099999999995,13:09:04,0.2534022473671523
40,43.0835,5.99332,13:14:03,0.1481287471771229
41,43.08385,5.99341,13:19:04,0.1315981803339251
42,43.08423,5.99357,13:23:58,0.15041067275351747
43,43.08457,5.99366,13:28:58,0.1283946552433734
44,43.08497,5.99386,13:33:58,0.15788546529189468
45,43.08534,5.99418,13:38:58,0.16225823718307636
46,43.08574,5.9945900000000005,13:43:55,0.187129228056275
47,43.0862,5.99495,13:48:56,0.19579260039273724
48,43.08661,5.99538,13:53:53,0.19341639184100434
49,43.08698,5.9959,13:58:55,0.1952819390695627
50,43.08728,5.99635,14:04:28,0.1486331934705337
51,43.08763,5.99675,14:08:58,0.18781004432793444
52,43.08804,5.99725,14:14:00,0.20221472008710437
53,43.088409999999996,5.9977800000000006,14:19:00,0.1985298533493943
54,43.08882,5.99834,14:24:03,0.21258389191062496
55,43.08919,5.998880000000001,14:29:02,0.20116506933127148
56,43.08958,5.99939,14:34:02,0.19994471440543143
57,43.08998,6.00002,14:39:00,0.22755445920611694
58,43.09039,6.0007,14:43:58,0.24036590099978614
